Date,Price,Open,High,Low,Vol.,Change %
6-Jan-20,"23,204.86","23,319.76","23,365.36","23,148.53",728.30M,-1.91%
7-Jan-20,"23,575.72","23,320.12","23,577.44","23,299.92",642.51M,1.60%
8-Jan-20,"23,204.76","23,217.49","23,303.21","22,951.18",794.10M,-1.57%
9-Jan-20,"23,739.87","23,530.29","23,767.09","23,506.15",621.91M,2.31%
10-Jan-20,"23,850.57","23,813.28","23,903.29","23,761.08",558.61M,0.47%
14-Jan-20,"24,025.17","23,969.04","24,059.86","23,951.66",642.33M,0.73%
15-Jan-20,"23,916.58","23,923.48","23,997.39","23,875.82",571.55M,-0.45%
16-Jan-20,"23,933.13","23,960.20","23,975.38","23,905.38",553.63M,0.07%
17-Jan-20,"24,041.26","24,103.45","24,115.95","24,013.75",593.81M,0.45%
20-Jan-20,"24,083.51","24,080.68","24,108.11","24,061.67",382.87M,0.18%
21-Jan-20,"23,864.56","24,072.81","24,081.75","23,843.48",445.89M,-0.91%
22-Jan-20,"24,031.35","23,835.49","24,040.87","23,831.10",489.71M,0.70%
23-Jan-20,"23,795.44","23,843.51","23,910.01","23,779.23",555.11M,-0.98%
24-Jan-20,"23,827.18","23,850.12","23,869.38","23,755.32",486.58M,0.13%
27-Jan-20,"23,343.51","23,427.90","23,463.89","23,317.32",624.17M,-2.03%
28-Jan-20,"23,215.71","23,126.93","23,243.36","23,115.15",643.74M,-0.55%
29-Jan-20,"23,379.40","23,309.32","23,392.61","23,214.28",549.20M,0.71%
30-Jan-20,"22,977.75","23,284.58","23,318.57","22,892.95",695.56M,-1.72%
31-Jan-20,"23,205.18","23,148.92","23,421.59","23,139.98",753.66M,0.99%
3-Feb-20,"22,971.94","22,874.27","23,023.73","22,775.92",725.33M,-1.01%
4-Feb-20,"23,084.59","22,881.13","23,118.13","22,854.45",679.45M,0.49%
5-Feb-20,"23,319.56","23,351.47","23,414.69","23,241.64",703.37M,1.02%
6-Feb-20,"23,873.59","23,641.10","23,995.37","23,625.13",950.80M,2.38%
7-Feb-20,"23,827.98","23,899.01","23,943.45","23,759.42",653.61M,-0.19%
10-Feb-20,"23,685.98","23,631.79","23,788.25","23,621.72",565.47M,-0.60%
12-Feb-20,"23,861.21","23,741.21","23,869.73","23,693.72",746.48M,0.74%
13-Feb-20,"23,827.73","23,849.76","23,908.85","23,784.31",645.17M,-0.14%
14-Feb-20,"23,687.59","23,714.52","23,738.42","23,603.48",691.05M,-0.59%
17-Feb-20,"23,523.24","23,489.78","23,561.98","23,335.99",540.38M,-0.69%
18-Feb-20,"23,193.80","23,398.57","23,402.01","23,133.60",595.04M,-1.40%
19-Feb-20,"23,400.70","23,329.33","23,468.56","23,234.96",615.89M,0.89%
20-Feb-20,"23,479.15","23,666.58","23,806.56","23,426.42",632.71M,0.34%
21-Feb-20,"23,386.74","23,427.77","23,588.55","23,378.33",620.67M,-0.39%
25-Feb-20,"22,605.41","22,949.37","22,950.23","22,335.21",1.06B,-3.34%
26-Feb-20,"22,426.19","22,374.14","22,456.55","22,127.42",993.40M,-0.79%
27-Feb-20,"21,948.23","22,255.83","22,272.26","21,844.29",1.06B,-2.13%
28-Feb-20,"21,142.96","21,518.01","21,528.13","20,916.40",1.48B,-3.67%
2-Mar-20,"21,344.08","20,849.79","21,593.11","20,834.29",1.24B,0.95%
