Date,Price,Open,High,Low,Vol.,Change %
24-Feb-20,"5,791.87","5,875.86","5,884.86","5,765.17",175.27M,-3.94%
25-Feb-20,"5,679.68","5,825.37","5,828.46","5,670.71",143.62M,-1.94%
26-Feb-20,"5,684.55","5,646.14","5,707.31","5,526.14",161.98M,0.09%
27-Feb-20,"5,495.60","5,571.72","5,613.72","5,421.31",216.33M,-3.32%
28-Feb-20,"5,309.90","5,310.82","5,376.05","5,229.56",268.47M,-3.38%
2-Mar-20,"5,333.52","5,416.02","5,430.05","5,197.57",201.84M,0.44%
3-Mar-20,"5,393.17","5,408.15","5,509.28","5,371.66",186.27M,1.12%
4-Mar-20,"5,464.89","5,400.43","5,493.25","5,357.35",152.46M,1.33%
5-Mar-20,"5,361.10","5,490.52","5,494.16","5,329.24",155.48M,-1.90%
6-Mar-20,"5,139.11","5,253.82","5,284.08","5,117.57",198.43M,-4.14%
9-Mar-20,"4,707.91","4,845.27","4,863.34","4,691.20",329.16M,-8.39%
10-Mar-20,"4,636.61","4,770.62","4,924.84","4,615.16",280.31M,-1.51%
11-Mar-20,"4,610.25","4,716.22","4,766.00","4,603.05",206.90M,-0.57%
12-Mar-20,"4,044.26","4,374.67","4,404.26","4,025.89",371.40M,-12.28%
13-Mar-20,"4,118.36","4,234.37","4,438.51","4,055.19",326.46M,1.83%
16-Mar-20,"3,881.46","3,886.82","3,962.01","3,632.06",311.60M,-5.75%
17-Mar-20,"3,991.78","4,041.33","4,042.46","3,759.00",225.79M,2.84%
18-Mar-20,"3,754.84","3,905.53","3,908.72","3,726.45",214.27M,-5.94%
19-Mar-20,"3,855.50","3,833.99","3,909.15","3,691.08",199.53M,2.68%
20-Mar-20,"4,048.80","4,066.79","4,109.11","3,984.30",271.87M,5.01%
23-Mar-20,"3,914.31","3,869.01","4,097.82","3,851.17",195.85M,-3.32%
24-Mar-20,"4,242.70","4,087.61","4,242.70","4,038.06",185.44M,8.39%
25-Mar-20,"4,432.30","4,339.71","4,453.01","4,221.32",176.94M,4.47%
26-Mar-20,"4,543.58","4,332.79","4,543.58","4,296.06",150.66M,2.51%
27-Mar-20,"4,351.49","4,433.95","4,471.37","4,288.66",144.02M,-4.23%
30-Mar-20,"4,378.51","4,362.09","4,379.15","4,216.41",119.40M,0.62%
31-Mar-20,"4,396.12","4,437.78","4,468.52","4,309.72",151.40M,0.40%
1-Apr-20,"4,207.24","4,259.94","4,266.69","4,186.45",141.86M,-4.30%
2-Apr-20,"4,220.96","4,243.84","4,265.56","4,143.16",135.20M,0.33%
3-Apr-20,"4,154.58","4,204.81","4,214.59","4,142.28",124.04M,-1.57%
6-Apr-20,"4,346.14","4,298.50","4,353.21","4,268.52",141.47M,4.61%
7-Apr-20,"4,438.27","4,489.40","4,527.60","4,379.27",146.54M,2.12%
8-Apr-20,"4,442.75","4,397.36","4,442.75","4,333.09",96.26M,0.10%
9-Apr-20,"4,506.85","4,512.30","4,543.69","4,409.04",126.59M,1.44%
14-Apr-20,"4,523.91","4,553.55","4,577.84","4,497.56",104.76M,0.38%
15-Apr-20,"4,353.72","4,511.87","4,525.50","4,335.59",119.36M,-3.76%
16-Apr-20,"4,350.16","4,402.38","4,418.65","4,318.90",107.75M,-0.08%
17-Apr-20,"4,499.01","4,470.92","4,550.78","4,464.09",134.39M,3.42%
20-Apr-20,"4,528.30","4,531.34","4,531.34","4,426.24",79.83M,0.65%
21-Apr-20,"4,357.46","4,467.49","4,477.31","4,357.46",98.90M,-3.77%
22-Apr-20,"4,411.80","4,382.20","4,417.57","4,361.44",84.20M,1.25%
23-Apr-20,"4,451.00","4,450.19","4,495.90","4,395.75",90.08M,0.89%
24-Apr-20,"4,393.32","4,387.03","4,448.73","4,366.09",81.30M,-1.30%
27-Apr-20,"4,505.26","4,479.86","4,505.26","4,448.05",75.90M,2.55%
